epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.83196,2.00003,3.01494,1.98136,0.00808,0.94658,0.38167,0.18263,1.73511,2.91509,1.67919,0.0951,0.0001,0.0001
2,2.56793,1.6054,2.65658,1.62028,0.0084,1,0.65463,0.40821,1.51056,2.54386,1.51086,0.08922,0.000219994,0.000219994
3,3.23552,1.34689,2.17222,1.33764,0.00832,1,0.60366,0.42699,1.10209,2.45613,1.30143,0.08334,0.000339963,0.000339963
4,4.04186,1.43205,2.027,1.53363,0.00843,1,0.58708,0.38398,1.30011,2.49645,1.45815,0.0774599,0.000459888,0.000459888
5,4.66058,1.45376,1.81755,1.41127,0.00931,1,0.69758,0.42445,1.7435,2.5339,1.78681,0.0715797,0.000579748,0.000579748
6,5.29875,1.52711,1.85184,1.47851,0.21196,0.91667,0.69967,0.44137,1.43688,2.52032,1.57429,0.0656995,0.000699525,0.000699525
7,5.95576,1.50856,1.69269,1.4566,0.69668,0.53205,0.74072,0.4916,1.07415,2.28365,1.32461,0.0598192,0.000819199,0.000819199
8,6.58333,1.41048,1.61678,1.40383,0.8322,0.4215,0.83306,0.59502,1.06126,2.10856,1.31413,0.0539388,0.00093875,0.00093875
9,7.18798,1.4344,1.62711,1.45285,0.8651,0.55695,0.92617,0.59597,1.21287,1.94582,1.46803,0.0480582,0.00105816,0.00105816
10,7.85837,1.35359,1.5327,1.39994,0.83904,0.83092,0.94135,0.62301,1.23369,1.63269,1.52336,0.0421774,0.00117741,0.00117741
11,8.51056,1.35243,1.35237,1.40242,0.88546,0.9226,0.97503,0.65744,1.16992,1.48183,1.44131,0.0362965,0.00129647,0.00129647
12,9.14646,1.43008,1.4195,1.47461,0.89277,0.9076,0.96962,0.61334,1.32382,1.38308,1.59621,0.0304153,0.00141534,0.00141534
13,9.8747,1.39019,1.36206,1.44474,0.92475,0.94872,0.99143,0.60384,1.32858,1.28522,1.5874,0.024534,0.00153399,0.00153399
14,10.4926,1.40033,1.36473,1.44497,0.95177,0.9904,0.98786,0.60592,1.32485,1.22151,1.57833,0.0186524,0.0016524,0.0016524
15,11.0737,1.41772,1.42413,1.45357,0.95177,0.9904,0.98786,0.60592,1.32485,1.22151,1.57833,0.0127705,0.00177055,0.00177055
16,11.6791,1.34052,1.28641,1.39117,0.83034,1,0.98062,0.62761,1.29992,1.31597,1.53405,0.00688842,0.00188842,0.00188842
17,12.3348,1.31008,1.32015,1.38202,0.79099,0.89111,0.96102,0.62459,1.18495,1.46972,1.40134,0.00198614,0.00198614,0.00198614
18,12.964,1.42011,1.27679,1.47635,0.83812,0.91317,0.96793,0.57405,1.30638,1.51646,1.52995,0.00198435,0.00198435,0.00198435
19,13.635,1.28574,1.22466,1.32521,0.83812,0.91317,0.96793,0.57405,1.30638,1.51646,1.52995,0.00198246,0.00198246,0.00198246
20,14.2566,1.33818,1.26386,1.35266,0.9422,0.93488,0.99189,0.64879,1.21717,1.62799,1.48333,0.00198047,0.00198047,0.00198047
21,14.9206,1.35614,1.21669,1.4265,0.96207,0.97436,0.99333,0.64278,1.19335,1.71511,1.46324,0.00197837,0.00197837,0.00197837
22,15.6264,1.25948,1.11745,1.34292,0.94633,0.97415,0.98984,0.5277,1.60848,2.0957,1.97288,0.00197616,0.00197616,0.00197616
23,16.2917,1.4168,1.21438,1.42085,0.94633,0.97415,0.98984,0.5277,1.60848,2.0957,1.97288,0.00197384,0.00197384,0.00197384
24,16.9162,1.33602,1.22873,1.38681,0.90072,0.97436,0.97193,0.55541,1.48122,1.73769,1.77035,0.00197142,0.00197142,0.00197142
25,17.5519,1.34988,1.29369,1.37093,0.90597,0.86721,0.96315,0.69292,1.10891,1.51034,1.37191,0.0019689,0.0019689,0.0019689
26,18.1894,1.41578,1.29284,1.46786,0.90221,0.92094,0.9683,0.67585,1.18951,1.46786,1.45924,0.00196627,0.00196627,0.00196627
27,18.8504,1.40698,1.25016,1.44588,0.90221,0.92094,0.9683,0.67585,1.18951,1.46786,1.45924,0.00196353,0.00196353,0.00196353
28,19.4336,1.24541,1.16746,1.42714,0.89368,0.91552,0.96482,0.60785,1.35017,1.3463,1.7147,0.00196069,0.00196069,0.00196069
29,20.031,1.32295,1.19589,1.4089,0.92474,0.97436,0.98062,0.5685,1.55761,1.29817,1.95855,0.00195775,0.00195775,0.00195775
30,20.6536,1.34198,1.11155,1.34414,0.90127,0.99113,0.99128,0.63562,1.37203,1.2815,1.70058,0.0019547,0.0019547,0.0019547
31,21.3499,1.37879,1.22045,1.42366,0.90127,0.99113,0.99128,0.63562,1.37203,1.2815,1.70058,0.00195155,0.00195155,0.00195155
32,21.9725,1.37333,1.24572,1.43464,0.80511,0.97436,0.96213,0.71562,1.04746,1.34872,1.33681,0.00194829,0.00194829,0.00194829
33,22.59,1.2536,1.11594,1.38402,0.81937,0.92308,0.94136,0.68093,1.09478,1.34381,1.37804,0.00194493,0.00194493,0.00194493
34,23.2081,1.36449,1.27833,1.4792,0.86483,0.90613,0.94916,0.6087,1.3293,1.31925,1.59762,0.00194147,0.00194147,0.00194147
35,23.7761,1.32262,1.15113,1.37818,0.86483,0.90613,0.94916,0.6087,1.3293,1.31925,1.59762,0.00193791,0.00193791,0.00193791
36,24.3968,1.29108,1.18622,1.35967,0.88015,0.93263,0.95735,0.62909,1.41587,1.23895,1.57317,0.00193424,0.00193424,0.00193424
37,24.9971,1.24278,1.09817,1.33186,0.88132,0.99088,0.95448,0.64032,1.29883,1.19505,1.45257,0.00193048,0.00193048,0.00193048
38,25.5989,1.22137,1.10997,1.34238,0.86746,0.98633,0.95674,0.67238,1.10307,1.16612,1.31993,0.00192661,0.00192661,0.00192661
39,26.2019,1.27374,1.12971,1.38107,0.86746,0.98633,0.95674,0.67238,1.10307,1.16612,1.31993,0.00192264,0.00192264,0.00192264
40,26.9097,1.18265,1.02814,1.31421,0.77035,1,0.9453,0.67766,1.13119,1.14525,1.37357,0.00191858,0.00191858,0.00191858
41,27.5066,1.28409,1.08154,1.33411,0.81522,1,0.95207,0.65724,1.16315,1.01905,1.40637,0.00191441,0.00191441,0.00191441
42,28.1461,1.14687,0.98132,1.30906,0.88679,1,0.97628,0.64981,1.37834,0.93893,1.60583,0.00191014,0.00191014,0.00191014
43,28.7328,1.16689,0.99808,1.27999,0.88679,1,0.97628,0.64981,1.37834,0.93893,1.60583,0.00190578,0.00190578,0.00190578
44,29.3587,1.25108,1.05763,1.32907,0.89835,0.97222,0.95962,0.59333,1.58171,0.91776,1.81172,0.00190132,0.00190132,0.00190132
45,30.0016,1.23306,1.0406,1.34876,0.88967,0.97126,0.99295,0.67168,1.41976,0.87268,1.64015,0.00189675,0.00189675,0.00189675
46,30.6463,1.19103,0.99034,1.29348,0.94725,0.97003,0.995,0.71214,1.18793,0.79737,1.381,0.0018921,0.0018921,0.0018921
47,31.2317,1.21516,1.01189,1.35169,0.94725,0.97003,0.995,0.71214,1.18793,0.79737,1.381,0.00188734,0.00188734,0.00188734
48,31.9027,1.3151,1.08613,1.35486,0.92021,0.97436,0.98599,0.69654,1.20923,0.84603,1.40204,0.00188249,0.00188249,0.00188249
49,32.6262,1.35803,1.05757,1.38861,0.93064,0.97436,0.98273,0.69711,1.26204,0.84747,1.44426,0.00187754,0.00187754,0.00187754
50,33.2568,1.20933,1.00609,1.33538,0.95797,0.97436,0.99333,0.66395,1.28362,0.95851,1.51685,0.0018725,0.0018725,0.0018725
51,33.8948,1.26449,1.01729,1.31403,0.95797,0.97436,0.99333,0.66395,1.28362,0.95851,1.51685,0.00186737,0.00186737,0.00186737
52,34.5739,1.16972,0.98718,1.30849,0.88569,0.93661,0.99063,0.63446,1.34271,1.00915,1.60305,0.00186213,0.00186213,0.00186213
53,35.1813,1.17603,0.93101,1.31393,0.86844,0.96475,0.96986,0.60428,1.44874,1.05234,1.69277,0.00185681,0.00185681,0.00185681
54,35.7891,1.1688,0.94578,1.30648,0.89198,0.96468,0.97284,0.58237,1.51086,1.02803,1.69436,0.00185139,0.00185139,0.00185139
55,36.407,1.19991,1.01429,1.30151,0.89198,0.96468,0.97284,0.58237,1.51086,1.02803,1.69436,0.00184588,0.00184588,0.00184588
56,37.0222,1.23087,1.01566,1.35431,0.87144,0.97436,0.96074,0.57962,1.43671,0.93311,1.56308,0.00184028,0.00184028,0.00184028
57,37.5984,1.17912,0.97375,1.24243,0.81087,0.94872,0.94997,0.63057,1.24725,0.85938,1.3892,0.00183459,0.00183459,0.00183459
58,38.2706,1.21882,0.9938,1.33442,0.86259,0.93708,0.94868,0.64528,1.1931,0.81976,1.36597,0.00182881,0.00182881,0.00182881
59,38.8548,1.24776,1.06434,1.32669,0.86259,0.93708,0.94868,0.64528,1.1931,0.81976,1.36597,0.00182294,0.00182294,0.00182294
60,39.4532,1.21883,1.01679,1.34618,0.8863,0.94936,0.98353,0.63831,1.30938,0.81294,1.44999,0.00181698,0.00181698,0.00181698
61,40.0614,1.22829,1.02031,1.32107,0.8924,0.92508,0.9816,0.60686,1.41972,0.87146,1.53301,0.00181093,0.00181093,0.00181093
62,40.6792,1.23394,0.97495,1.30269,0.88466,0.94872,0.976,0.5914,1.44651,0.88897,1.53969,0.00180479,0.00180479,0.00180479
63,41.244,1.21275,1.01557,1.3194,0.88466,0.94872,0.976,0.5914,1.44651,0.88897,1.53969,0.00179856,0.00179856,0.00179856
64,41.8127,1.14957,0.96357,1.33262,0.85474,0.94872,0.9575,0.64304,1.3381,0.86386,1.4533,0.00179225,0.00179225,0.00179225
